"","day","cases","hosp","death","new_test"
"1",1,25,0,0,493
"2",2,16,0,0,683
"3",3,29,0,0,946
"4",4,21,0,0,745
"5",5,34,0,0,427
"6",6,27,0,0,1740
"7",7,54,0,0,2432
"8",8,62,0,0,3252
"9",9,94,1,0,2482
"10",10,139,0,0,2991
"11",11,136,1,0,3293
"12",12,125,0,0,3161
"13",13,159,0,0,3070
"14",14,276,1,0,2799
"15",15,280,1,1,3123
"16",16,369,4,1,3291
"17",17,521,1,2,3929
"18",18,507,1,0,4323
"19",19,422,0,0,4510
"20",20,439,1,0,4259
"21",21,493,3,2,4240
"22",22,439,3,3,4163
"23",23,547,5,1,4363
"24",24,597,3,1,4321
"25",25,476,2,1,4434
"26",26,1008,2,1,4157
"27",27,684,2,2,5109
"28",28,761,6,1,4671
"29",29,665,1,3,4695
"30",30,492,4,2,3357
"31",31,313,4,1,3244
"32",32,372,1,1,2059
"33",33,280,2,0,2881
"34",34,274,1,0,2622
"35",35,465,0,2,3118
"36",36,391,5,0,2062
"37",37,328,2,1,1921
"38",38,300,4,1,1976
"39",39,309,6,4,1102
"40",40,352,1,0,551
"41",41,289,1,1,2133
"42",42,277,3,3,2826
"43",43,378,2,1,3458
"44",44,323,4,1,2091
"45",45,218,3,2,2166
"46",46,181,2,3,1534
"47",47,215,2,0,1721
"48",48,161,5,1,1348
"49",49,232,2,1,1682
"50",50,212,2,1,1221
"51",51,226,1,3,1245
"52",52,268,1,0,1432
"53",53,71,2,0,1382
"54",54,188,2,1,1141
"55",55,162,0,0,936
"56",56,300,3,3,779
"57",57,204,3,1,1085
"58",58,292,2,1,1160
"59",59,205,2,0,1394
"60",60,265,6,2,913
"61",61,167,1,0,1359
"62",62,181,1,0,1181
"63",63,169,1,1,1511
"64",64,306,2,1,908
"65",65,231,5,1,1123
"66",66,238,2,0,1239
"67",67,191,0,0,1004
"68",68,268,3,2,1234
"69",69,181,3,0,1220
"70",70,291,3,1,1537
"71",71,262,3,3,1282
"72",72,343,3,2,1292
"73",73,309,1,1,1599
"74",74,233,1,0,1065
"75",75,272,2,2,1527
"76",76,345,2,1,1262
"77",77,384,3,1,1677
"78",78,406,2,1,1236
"79",79,501,5,1,1313
"80",80,464,5,1,1446
"81",81,371,5,1,983
"82",82,387,2,2,1469
"83",83,420,5,0,1321
"84",84,660,3,1,1790
"85",85,649,6,1,1566
"86",86,584,2,2,1852
"87",87,611,7,3,2005
"88",88,348,4,2,2000
"89",89,438,6,2,1751
"90",90,500,1,1,1549
"91",91,602,12,7,1373
"92",92,574,3,4,1536
"93",93,635,4,1,1673
