week_end,geo,ab_estimate,pct_mean,pct_q025,pct_q25,pct_q75,pct_q975
2020-03-07,AB,Anti-N estimate,0.00347216,0.00152391,NA,NA,0.006287814
2020-03-14,AB,Anti-N estimate,0.004006572,0.001709389,NA,NA,0.007393373
2020-03-21,AB,Anti-N estimate,0.004570023,0.001914123,NA,NA,0.008497322
2020-03-28,AB,Anti-N estimate,0.005145212,0.002141044,NA,NA,0.009579372
2020-04-04,AB,Anti-N estimate,0.005710193,0.002369997,NA,NA,0.010772598
2020-04-11,AB,Anti-N estimate,0.006239609,0.002634571,NA,NA,0.011747825
2020-04-18,AB,Anti-N estimate,0.006707004,0.00291525,NA,NA,0.012485918
2020-04-25,AB,Anti-N estimate,0.007096362,0.003194013,NA,NA,0.012984406
2020-05-02,AB,Anti-N estimate,0.007407745,0.003442403,NA,NA,0.013462633
2020-05-09,AB,Anti-N estimate,0.007647565,0.003754461,NA,NA,0.013548951
2020-05-16,AB,Anti-N estimate,0.007826177,0.004000674,NA,NA,0.013517368
2020-05-23,AB,Anti-N estimate,0.007956053,0.004210103,NA,NA,0.01329952
2020-05-30,AB,Anti-N estimate,0.008050228,0.0044004,NA,NA,0.013294942
2020-06-06,AB,Anti-N estimate,0.008121169,0.004460339,NA,NA,0.013345729
2020-06-13,AB,Anti-N estimate,0.008180101,0.004454971,NA,NA,0.013496377
2020-06-20,AB,Anti-N estimate,0.008236771,0.004464537,NA,NA,0.013674934
2020-06-27,AB,Anti-N estimate,0.008299586,0.004417756,NA,NA,0.013884926
2020-07-04,AB,Anti-N estimate,0.008376084,0.004389404,NA,NA,0.014033876
2020-07-11,AB,Anti-N estimate,0.008473709,0.004373035,NA,NA,0.014417684
2020-07-18,AB,Anti-N estimate,0.008599126,0.004430884,NA,NA,0.014614038
2020-07-25,AB,Anti-N estimate,0.008753993,0.004616409,NA,NA,0.014921093
2020-08-01,AB,Anti-N estimate,0.008940278,0.004809959,NA,NA,0.015076089
2020-08-08,AB,Anti-N estimate,0.009161406,0.005025211,NA,NA,0.015177207
2020-08-15,AB,Anti-N estimate,0.009421694,0.005292161,NA,NA,0.015268627
2020-08-22,AB,Anti-N estimate,0.009725867,0.005642132,NA,NA,0.01538446
