"day","date","seroprevalence","cases"
1,2021-12-15,0.00460967905892273,29
2,2021-12-16,0.00539729690887591,35
3,2021-12-17,0.00619545241930919,46
4,2021-12-18,0.00700427009887628,62
5,2021-12-19,0.00782387543547702,78
6,2021-12-20,0.00865439488805031,91
7,2021-12-21,0.00949595587769536,110
8,2021-12-22,0.0103486867781002,142
9,2021-12-23,0.0112127169052557,173
10,2021-12-24,0.0120881765064321,212
11,2021-12-25,0.0129751967483974,267
12,2021-12-26,0.0138739097048527,320
13,2021-12-27,0.0147844483430627,362
14,2021-12-28,0.0157069465096563,402
15,2021-12-29,0.0166415389155739,433
16,2021-12-30,0.0175883611201352,456
17,2021-12-31,0.0185475495142053,481
18,2022-01-01,0.019519241302429,492
19,2022-01-02,0.020503574484511,488
20,2022-01-03,0.0215006878355142,571
21,2022-01-04,0.0225107208851475,606
22,2022-01-05,0.0235338138960193,645
23,2022-01-06,0.0245701078408234,677
24,2022-01-07,0.0256197443784354,669
25,2022-01-08,0.0266828658288852,628
26,2022-01-09,0.0277596151471797,614
27,2022-01-10,0.028850135895945,510
28,2022-01-11,0.0299545722168576,451
29,2022-01-12,0.0310730688008363,409
30,2022-01-13,0.0322057708569607,370
31,2022-01-14,0.0333528240800887,346
32,2022-01-15,0.0345143746171376,344
33,2022-01-16,0.0356905690320012,335
34,2022-01-17,0.0368815542690671,346
35,2022-01-18,0.0380874776153033,348
36,2022-01-19,0.0393084866608808,321
37,2022-01-20,0.0405447292583002,319
38,2022-01-21,0.0417963534799859,318
39,2022-01-22,0.0430635075743184,307
40,2022-01-23,0.0443463399200672,288
41,2022-01-24,0.0456449989791921,269
42,2022-01-25,0.0469596332479786,250
43,2022-01-26,0.0482903912064715,244
44,2022-01-27,0.049637421266175,220
45,2022-01-28,0.0510008717159811,206
46,2022-01-29,0.0523808906662953,214
47,2022-01-30,0.0537776259913215,198
48,2022-01-31,0.0551912252694747,194
49,2022-02-01,0.0566218357218844,194
50,2022-02-02,0.0580696041489552,204
51,2022-02-03,0.0595346768649511,203
52,2022-02-04,0.0610171996305671,212
53,2022-02-05,0.0625173175834574,203
54,2022-02-06,0.0640351751666831,231
55,2022-02-07,0.0655709160550493,228
56,2022-02-08,0.0671246830792961,231
57,2022-02-09,0.0686966181481138,212
58,2022-02-10,0.0702868621679477,226
59,2022-02-11,0.071895554960563,218
60,2022-02-12,0.0735228351783396,222
61,2022-02-13,0.0751688402172646,212
62,2022-02-14,0.0768337061275962,226
63,2022-02-15,0.0785175675221693,226
64,2022-02-16,0.0802205574823152,244
65,2022-02-17,0.0819428074613708,237
66,2022-02-18,0.0836844471857511,253
67,2022-02-19,0.0854456045535615,264
68,2022-02-20,0.087226405530727,270
69,2022-02-21,0.0890269740446185,270
70,2022-02-22,0.0908474318751555,294
71,2022-02-23,0.0926878985433676,307
72,2022-02-24,0.0945484911973988,327
73,2022-02-25,0.0964293244959405,350
74,2022-02-26,0.0983305104890804,372
75,2022-02-27,0.100252158496557,392
76,2022-02-28,0.102194374983413,408
77,2022-03-01,0.10415726343304,419
78,2022-03-02,0.106140924217612,458
79,2022-03-03,0.108145454465908,493
80,2022-03-04,0.110170947928527,505
81,2022-03-05,0.112217494840495,526
82,2022-03-06,0.114285181781278,523
83,2022-03-07,0.116374091532212,530
84,2022-03-08,0.11848430293136,541
85,2022-03-09,0.120615890725819,533
86,2022-03-10,0.122768925421498,522
87,2022-03-11,0.124943473130389,530
88,2022-03-12,0.127139595415371,514
89,2022-03-13,0.129357349132564,513
90,2022-03-14,0.131596786271289,505
91,2022-03-15,0.133857953791669,459
92,2022-03-16,0.136140893459918,436
93,2022-03-17,0.138445641681371,411
94,2022-03-18,0.140772229331314,388
95,2022-03-19,0.143120681583684,375
96,2022-03-20,0.145491017737693,386
97,2022-03-21,0.14788325104246,374
98,2022-03-22,0.150297388519736,392
99,2022-03-23,0.152733430784799,407
100,2022-03-24,0.155191371865612,392
101,2022-03-25,0.157671199020356,379
102,2022-03-26,0.160172892553428,364
103,2022-03-27,0.16269642563003,332
104,2022-03-28,0.165241764089461,317
105,2022-03-29,0.167808866257246,304
106,2022-03-30,0.17039768275623,271
