project,geo,samplingdate,Region,seroprev_est,seroprev_lo95,seroprev_hi95,sero_denom,miss_denom,ab_target,interpretation,adjust_assay,adjust_pop
ABPL,AB,1/1/2022,Western,0.087,0.0867,0.0873,8118,0,N,infection-induced,0,1
ABPL,AB,2/28/2022,Western,0.348,0.348,0.349,8782,0,N,infection-induced,0,1
ABPL,AB,5/5/2022,Western,0.366,0.366,0.367,8634,0,N,infection-induced,0,1
ABPL,AB,7/5/2022,Western,0.334,0.334,0.335,8266,0,N,infection-induced,0,1
ABPL,AB,6/3/2020,Western,0.00924,NA,NA,8442,0,S,induced by either,0,1
ABPL,AB,7/8/2020,Western,0.00516,NA,NA,13175,0,S,induced by either,0,1
ABPL,AB,8/8/2020,Western,0.00749,NA,NA,12284,0,S,induced by either,0,1
ABPL,AB,9/9/2020,Western,0.00958,NA,NA,12006,0,S,induced by either,0,1
ABPL,AB,10/10/2020,Western,0.00882,NA,NA,13490,0,S,induced by either,0,1
ABPL,AB,11/9/2020,Western,0.01151,NA,NA,11471,0,S,induced by either,0,1
ABPL,AB,12/9/2020,Western,0.01996,NA,NA,12076,0,S,induced by either,0,1
ABPL,AB,1/13/2021,Western,0.0362,NA,NA,11049,0,S,induced by either,0,1
ABPL,AB,3/15/2021,Western,0.119,0.119,0.119,12491,0,S,induced by either,0,1
ABPL,AB,4/15/2021,Western,0.219,0.219,0.219,12129,0,S,induced by either,0,1
ABPL,AB,5/15/2021,Western,0.346,0.345,0.346,11594,0,S,induced by either,0,1
ABPL,AB,6/15/2021,Western,0.624,0.624,0.625,11896,0,S,induced by either,0,1
ABPL,AB,7/15/2021,Western,0.702,0.702,0.703,13227,0,S,induced by either,0,1
ABPL,AB,10/15/2021,Western,0.777,0.776,0.777,6551,0,S,induced by either,0,1
ABPL,AB,1/15/2022,Western,0.841,0.841,0.842,8417,0,S,induced by either,0,1
ABPL,AB,2/28/2022,Western,0.901,0.9,0.91,8775,0,S,induced by either,0,1
ABPL,AB,5/5/2022,Western,0.924,0.939,0.949,8631,0,S,induced by either,0,1
ABPL,AB,7/5/2022,Western,0.94,0.94,0.94,8251,0,S,induced by either,0,1
ANTE,AB,2/12/2020,Western,0.004,0.002,0.006,3712,0,N,infection-induced,NA,1
ANTE,AB,9/2/2020,Western,0.016,0.012,0.021,3072,0,N,infection-induced,NA,1
ANTE,AB,11/25/2020,Western,0.0178,0.0128,0.025,2037,0,N,infection-induced,NA,1
ANTE,AB,11/22/2021,Western,0.092,NA,NA,2667,0,N,infection-induced,NA,1
CBS,AB,6/14/2020,Western,0.0048,0.0033,0.0062,12107,0,N,infection-induced,1,1
CBS,AB,10/21/2020,Western,0.0076,0.0038,0.0114,1028,0,N,infection-induced,1,1
CBS,AB,11/16/2020,Western,0.0179,0.0124,0.0234,1297,0,N,infection-induced,1,1
CBS,AB,12/16/2020,Western,0.0212,0.0155,0.0268,4339,0,N,infection-induced,1,1
CBS,AB,1/14/2021,Western,0.0402,0.0346,0.0458,6880,0,N,infection-induced,1,1
CBS,AB,3/6/2021,Western,0.0653,0.0554,0.0751,3191,0,N,infection-induced,1,1
CBS,AB,4/21/2021,Western,0.0511,0.0423,0.0599,3138,0,N,infection-induced,1,1
CBS,AB,5/28/2021,Western,0.0642,0.0544,0.0739,3207,0,N,infection-induced,1,1
CBS,AB,6/21/2021,Western,0.0811,0.07,0.0922,3591,0,N,infection-induced,1,1
CBS,AB,7/18/2021,Western,0.0781,0.063,0.0932,1746,0,N,infection-induced,1,1
CBS,AB,8/20/2021,Western,0.0669,0.0534,0.0804,2049,0,N,infection-induced,1,1
CBS,AB,9/19/2021,Western,0.0828,0.0681,0.0974,2100,0,N,infection-induced,1,1
CBS,AB,10/18/2021,Western,0.0865,0.0717,0.1013,2245,0,N,infection-induced,1,1
CBS,AB,11/18/2021,Western,0.0925,0.0767,0.1082,2048,0,N,infection-induced,1,1
CBS,AB,12/22/2021,Western,0.1294,0.1162,0.1427,3455,0,N,infection-induced,1,1
CBS,AB,1/4/2022,Western,0.1146,0.0986,0.1306,1814,0,N,infection-induced,1,1
CBS,AB,1/12/2022,Western,0.135,0.1181,0.1518,2209,0,N,infection-induced,1,1
CBS,AB,1/20/2022,Western,0.1746,0.152,0.1972,1319,0,N,infection-induced,1,1
CBS,AB,1/28/2022,Western,0.2301,0.2062,0.2541,1688,0,N,infection-induced,1,1
CBS,AB,2/4/2022,Western,0.2489,0.2237,0.274,1540,0,N,infection-induced,1,1
CBS,AB,2/11/2022,Western,0.3122,0.2803,0.3441,1079,0,N,infection-induced,1,1
CBS,AB,2/18/2022,Western,0.3369,0.3106,0.3631,1686,0,N,infection-induced,1,1
CBS,AB,2/25/2022,Western,0.3597,0.3319,0.3874,1526,0,N,infection-induced,1,1
CBS,AB,3/4/2022,Western,0.3685,0.3384,0.3987,1334,0,N,infection-induced,1,1
CBS,AB,3/11/2022,Western,0.3809,0.3508,0.411,1319,0,N,infection-induced,1,1
CBS,AB,3/19/2022,Western,0.4223,0.3938,0.4508,1647,0,N,infection-induced,1,1
