"province","period","population","cum_start","cum_end","delta_cases","delta_cases_percapita_pct","sero_delta_pct","underreporting_ratio"
"Alberta","2020::Jul–Dec",4262635,7944,97407,89463,2.09877223829861,0.52,0.247763902395404
"Alberta","2021::Jan–Jun",4262635,97407,231810,134403,3.15304969813273,4.09,1.29715684545732
"Alberta","2021::Jul–Dec",4262635,231810,352873,121063,2.84009773297503,5.13,1.80627586876254
"Alberta","2022::Jan–Jun",4262635,352873,588311,235438,5.52329720935525,55.36,10.0229985643779
"British Columbia","2020::Jul–Dec",5000879,2878,49568,46690,0.933635866814614,0.72,0.771178599271793
"British Columbia","2021::Jan–Jun",5000879,49568,147475,97907,1.95779581949493,1.55,0.791706665509106
"British Columbia","2021::Jul–Dec",5000879,147475,238210,90735,1.81438103181461,5.83,3.21321701328043
"British Columbia","2022::Jan–Jun",5000879,238210,374594,136384,2.72720055814188,51.04,18.7151619075551
"Manitoba","2020::Jul–Dec",1342153,322,23624,23302,1.73616569794949,1.514166,0.872132194403055
"Manitoba","2021::Jan–Jun",1342153,23624,55878,32254,2.40315373880623,1.42,0.590890202765549
"Manitoba","2021::Jul–Dec",1342153,55878,74358,18480,1.3768922023048,5.08,3.6894682034632
"Manitoba","2022::Jan–Jun",1342153,74358,145498,71140,5.30043892164306,42.16,7.95405826258083
"New Brunswick","2020::Jul–Dec",775610,165,590,425,0.0547955802529622,0.61,11.1322847058824
"New Brunswick","2021::Jan–Jun",775610,590,2324,1734,0.223565967432086,-0.18,-0.805131487889273
"New Brunswick","2021::Jul–Dec",775610,2324,11896,9572,1.23412539807377,-0.15,-0.12154356456331
"New Brunswick","2022::Jan–Jun",775610,11896,67725,55829,7.19807635280618,53.09,7.37558166902506
"Newfoundland and Labrador","2020::Jul–Dec",510550,261,384,123,0.0240916658505533,0.19,7.88654471544715
"Newfoundland and Labrador","2021::Jan–Jun",510550,384,1384,1000,0.195867202037019,0.06,0.30633
"Newfoundland and Labrador","2021::Jul–Dec",510550,1384,2512,1128,0.220938203897757,-0.58,-2.62516843971631
"Newfoundland and Labrador","2022::Jan–Jun",510550,2512,47773,45261,8.86514543139751,56.16,6.33492145555776
"Nova Scotia","2020::Jul–Dec",969383,1061,1469,408,0.0420886275084255,0.42,9.97894264705882
"Nova Scotia","2021::Jan–Jun",969383,1469,5820,4351,0.448842201689116,-0.12,-0.267354539186394
"Nova Scotia","2021::Jul–Dec",969383,5820,14301,8481,0.874886396811168,-0.1,-0.114300554179932
"Nova Scotia","2022::Jan–Jun",969383,14301,106633,92332,9.52482145859789,53.96,5.66519805484556
"Ontario","2020::Jul–Dec",14223942,34813,173501,138688,0.97503209729061,-0.23,-0.235889670339179
"Ontario","2021::Jan–Jun",14223942,173501,544796,371295,2.61035232005305,2.54,0.973048726215004
"Ontario","2021::Jul–Dec",14223942,544796,705514,160718,1.12991180644578,6.74,5.9650673278662
"Ontario","2022::Jan–Jun",14223942,705514,1329416,623902,4.3862805402328,49.74,11.3399039445298
"Prince Edward Island","2020::Jul–Dec",154331,27,94,67,0.0434131833526641,0,0
"Prince Edward Island","2021::Jan–Jun",154331,94,207,113,0.0732192495350902,0,0
"Prince Edward Island","2021::Jul–Dec",154331,207,737,530,0.343417719058388,0,0
"Prince Edward Island","2022::Jan–Jun",154331,737,40460,39723,25.7388340644459,53.01,2.05953384940714
"Quebec","2020::Jul–Dec",8501833,48231,186323,138092,1.62426149749119,NA,NA
"Quebec","2021::Jan–Jun",8501833,186323,369727,183404,2.15722891757577,-2.3,-1.06618262960459
"Quebec","2021::Jul–Dec",8501833,369727,547902,178175,2.09572453375643,17.57,8.38373541798793
"Quebec","2022::Jan–Jun",8501833,547902,1089710,541808,6.37283748104673,49.28,7.73281919499158
"Saskatchewan","2020::Jul–Dec",1132505,777,14615,13838,1.22189306007479,2.27,1.85777305246423
"Saskatchewan","2021::Jan–Jun",1132505,14615,48706,34091,3.01022953541044,1.45,0.481690842157754
"Saskatchewan","2021::Jul–Dec",1132505,48706,83086,34380,3.03574818654222,3.6196313,1.19233581890823
"Saskatchewan","2022::Jan–Jun",1132505,83086,139661,56575,4.99556293349698,54.57,10.9236938311975
