"matrix","time","row","col","value","sd","conf.low","conf.high","dates","report_prob_new"
"beta",1970-01-02,0,0,0.0861931607984353,0.00390084501199495,0.0785476450656525,0.0938386765312181,2021-12-15,1
"report_prob",1970-01-02,0,0,1,0,0.5,0.5,2021-12-15,1
"inc",1970-01-02,0,0,0.0154586257496853,0.00110566915755899,0.013291554022053,0.0176256974773177,2021-12-15,1
"serop",1970-01-02,0,0,0.0153486792108409,0.00089000453279459,0.0136043023804861,0.0170930560411957,2021-12-15,1
"beta",1970-01-03,0,0,0.0931533323524147,0.00389074436191461,0.0855276135300098,0.10077905117482,2021-12-16,1
"report_prob",1970-01-03,0,0,1,0,0.5,0.5,2021-12-16,1
"inc",1970-01-03,0,0,0.0153475560333801,0.00106128664254655,0.0132674724367154,0.0174276396300448,2021-12-16,1
"serop",1970-01-03,0,0,0.0146767365207765,0.00085945316927388,0.0129922392626009,0.0163612337789522,2021-12-16,1
"beta",1970-01-04,0,0,0.101850384613007,0.00388336540283744,0.0942391282846372,0.109461640941378,2021-12-17,1
"report_prob",1970-01-04,0,0,1,0,0.5,0.5,2021-12-17,1
"inc",1970-01-04,0,0,0.0154233686163845,0.00102626581055459,0.0134119245891326,0.0174348126436363,2021-12-17,1
"serop",1970-01-04,0,0,0.0140672734692809,0.00082983243896854,0.0124408317756995,0.0156937151628623,2021-12-17,1
"beta",1970-01-05,0,0,0.112552367827169,0.00387604193461033,0.104955465232766,0.120149270421572,2021-12-18,1
"report_prob",1970-01-05,0,0,1,0,0.5,0.5,2021-12-18,1
"inc",1970-01-05,0,0,0.0156836451517729,0.00099978815087763,0.0137240963838829,0.017643193919663,2021-12-18,1
"serop",1970-01-05,0,0,0.0135241131323533,0.00080142889175753,0.0119533413683386,0.0150948848963679,2021-12-18,1
"beta",1970-01-06,0,0,0.12557127046849,0.00387005411417122,0.117986103786493,0.133156437150486,2021-12-19,1
"report_prob",1970-01-06,0,0,1,0,0.5,0.5,2021-12-19,1
"inc",1970-01-06,0,0,0.0161289656167931,0.00098116147187193,0.0142059244689058,0.0180520067646804,2021-12-19,1
"serop",1970-01-06,0,0,0.013050526543594,0.0007744560434227,0.0115326205908761,0.0145684324963119,2021-12-19,1
"beta",1970-01-07,0,0,0.141260086892319,0.00387496380260078,0.133665297397825,0.148854876386813,2021-12-20,1
"report_prob",1970-01-07,0,0,1,0,0.5,0.5,2021-12-20,1
"inc",1970-01-07,0,0,0.0167629059097205,0.00096986551915881,0.014862004422322,0.0186638073971191,2021-12-20,1
"serop",1970-01-07,0,0,0.0126495188512814,0.00074906663331828,0.0111813752279569,0.0141176624746059,2021-12-20,1
"beta",1970-01-08,0,0,0.160005242754134,0.00391531113976963,0.152331373931917,0.167679111576351,2021-12-21,1
"report_prob",1970-01-08,0,0,1,0,0.5,0.5,2021-12-21,1
"inc",1970-01-08,0,0,0.0175918936652842,0.00096558758826084,0.0156993767683741,0.0194844105621944,2021-12-21,1
"serop",1970-01-08,0,0,0.0123240350769077,0.00072536468361698,0.0109023464213611,0.0137457237324543,2021-12-21,1
"beta",1970-01-09,0,0,0.182212642954503,0.00403841969240523,0.174297485802932,0.190127800106075,2021-12-22,1
"report_prob",1970-01-09,0,0,1,0,0.5,0.5,2021-12-22,1
"inc",1970-01-09,0,0,0.0186249940675068,0.00096825305356891,0.0167272529545908,0.0205227351804228,2021-12-22,1
"serop",1970-01-09,0,0,0.0120771176344615,0.00070341784358343,0.0106984439949552,0.0134557912739679,2021-12-22,1
"beta",1970-01-10,0,0,0.208285606899415,0.00431749753024977,0.199823467236784,0.216747746562045,2021-12-23,1
"report_prob",1970-01-10,0,0,1,0,0.5,0.5,2021-12-23,1
"inc",1970-01-10,0,0,0.0198736654176671,0.00097805095598093,0.0179567207688995,0.0217906100664347,2021-12-23,1
"serop",1970-01-10,0,0,0.0119120285349568,0.00068327030067318,0.0105728433539315,0.0132512137159821,2021-12-23,1
"beta",1970-01-11,0,0,0.238593307920814,0.00484012739958091,0.229106832537049,0.248079783304578,2021-12-24,1
"report_prob",1970-01-11,0,0,1,0,0.5,0.5,2021-12-24,1
"inc",1970-01-11,0,0,0.0213514988242389,0.00099545103208673,0.0194004506529757,0.0233025469955022,2021-12-24,1
"serop",1970-01-11,0,0,0.0118323429791837,0.00066495650307953,0.0105290521818621,0.0131356337765053,2021-12-24,1
"beta",1970-01-12,0,0,0.273429188349749,0.00568116810769012,0.262294303468559,0.284564073230939,2021-12-25,1
"report_prob",1970-01-12,0,0,1,0,0.5,0.5,2021-12-25,1
"inc",1970-01-12,0,0,0.0230739358007138,0.00102120581486755,0.0210724091827706,0.0250754624186571,2021-12-25,1
"serop",1970-01-12,0,0,0.0118420179546047,0.00064851589369701,0.0105709501595567,0.0131130857496526,2021-12-25,1
"beta",1970-01-13,0,0,0.312960286706046,0.00687910787648832,0.299477483022363,0.326443090389729,2021-12-26,1
"report_prob",1970-01-13,0,0,1,0,0.5,0.5,2021-12-26,1
"inc",1970-01-13,0,0,0.0250579305051309,0.00105632980606116,0.0229875621294549,0.027128298880807,2021-12-26,1
"serop",1970-01-13,0,0,0.0117054868728368,0.00062332712913764,0.0104837881491403,0.0129271855965333,2021-12-26,1
